YEAR,MONTH,DAY,DAY_OF_WEEK,FLIGHT_NUMBER,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,11,16,1,1877,1435,1433,-2,9,1442,195,169,155,1111,1717,5,1750,1722,-28,0,0,NA,NA,NA,NA,NA
2015,1,14,3,514,1805,1806,1,17,1823,137,128,105,859,2008,6,2022,2014,-8,0,0,NA,NA,NA,NA,NA
2015,7,31,5,380,1010,1005,-5,12,1017,130,137,119,733,1316,6,1320,1322,2,0,0,NA,NA,NA,NA,NA
2015,10,12,1,411,905,907,2,12,919,195,175,157,1209,956,6,1020,1002,-18,0,0,NA,NA,NA,NA,NA
2015,12,8,2,1497,1715,1709,-6,16,1725,217,210,187,1345,1832,7,1852,1839,-13,0,0,NA,NA,NA,NA,NA
2015,8,17,1,1504,600,603,3,13,616,237,226,205,1598,941,8,957,949,-8,0,0,NA,NA,NA,NA,NA
2015,10,28,3,3534,1929,NA,NA,NA,NA,154,NA,NA,719,NA,NA,2103,NA,NA,0,1,NA,NA,NA,NA,NA
2015,3,15,7,5327,1349,1342,-7,9,1351,71,56,41,260,1432,6,1500,1438,-22,0,0,NA,NA,NA,NA,NA
2015,9,11,5,2051,1415,1414,-1,12,1426,196,174,157,1299,1503,5,1531,1508,-23,0,0,NA,NA,NA,NA,NA
2015,2,26,4,1357,1435,1441,6,16,1457,260,245,221,1598,1738,8,1755,1746,-9,0,0,NA,NA,NA,NA,NA
2015,7,19,7,6093,2059,2052,-7,14,2106,94,80,61,416,2307,5,2333,2312,-21,0,0,NA,NA,NA,NA,NA
2015,12,15,2,1883,1800,1754,-6,34,1828,171,172,133,920,2041,5,2051,2046,-5,0,0,NA,NA,NA,NA,NA
2015,10,6,2,2100,905,858,-7,14,912,95,95,78,544,1030,3,1040,1033,-7,0,0,NA,NA,NA,NA,NA
2015,8,24,1,455,545,539,-6,13,552,110,105,84,602,616,8,635,624,-11,0,0,NA,NA,NA,NA,NA
2015,8,9,7,558,1945,1938,-7,10,1948,133,122,105,853,2233,7,2258,2240,-18,0,0,NA,NA,NA,NA,NA
2015,5,14,4,6390,1702,1907,125,13,1920,248,222,203,1499,2043,6,1910,2049,99,0,0,98,0,0,1,0
2015,5,4,1,5171,941,952,11,6,958,61,53,40,227,1038,7,1042,1045,3,0,0,NA,NA,NA,NA,NA
2015,7,7,2,2632,622,614,-8,16,630,145,141,112,785,722,13,747,735,-12,0,0,NA,NA,NA,NA,NA
2015,11,4,3,1689,1345,1343,-2,25,1408,95,96,66,425,1414,5,1420,1419,-1,0,0,NA,NA,NA,NA,NA
2015,1,15,4,5013,1718,1726,8,10,1736,117,116,97,508,1913,9,1915,1922,7,0,0,NA,NA,NA,NA,NA
2015,8,27,4,276,1300,1252,-8,13,1305,120,111,94,634,1339,4,1400,1343,-17,0,0,NA,NA,NA,NA,NA
2015,12,7,1,4697,1809,1807,-2,25,1832,109,107,77,455,1849,5,1858,1854,-4,0,0,NA,NA,NA,NA,NA
2015,4,10,5,4870,2045,2208,83,20,2228,150,132,107,722,15,5,2315,20,65,0,0,0,0,0,65,0
2015,6,30,2,2281,1858,1910,12,10,1920,100,79,63,432,2023,6,2038,2029,-9,0,0,NA,NA,NA,NA,NA
2015,6,30,2,5335,1719,1711,-8,12,1723,61,57,35,145,1758,10,1820,1808,-12,0,0,NA,NA,NA,NA,NA
2015,10,12,1,4,2210,2204,-6,17,2221,330,313,291,2556,612,5,640,617,-23,0,0,NA,NA,NA,NA,NA
2015,2,15,7,2395,1159,1225,26,16,1241,169,175,149,1035,1510,10,1448,1520,32,0,0,6,0,26,0,0
2015,5,30,6,1684,1055,1055,0,10,1105,170,171,156,1224,1541,5,1545,1546,1,0,0,NA,NA,NA,NA,NA
2015,3,30,1,655,1635,1656,21,15,1711,70,70,50,327,1801,5,1745,1806,21,0,0,0,0,17,4,0
2015,1,2,5,902,1339,1339,0,14,1353,120,106,86,594,1519,6,1539,1525,-14,0,0,NA,NA,NA,NA,NA
2015,1,21,3,1522,1538,1533,-5,13,1546,115,110,90,628,1816,7,1833,1823,-10,0,0,NA,NA,NA,NA,NA
2015,2,13,5,4605,625,700,35,20,720,84,68,41,284,801,7,749,808,19,0,0,0,0,19,0,0
2015,3,22,7,465,740,736,-4,16,752,207,202,179,1440,1251,7,1307,1258,-9,0,0,NA,NA,NA,NA,NA
2015,10,5,1,4486,1819,1811,-8,14,1825,155,142,118,851,1923,10,1954,1933,-21,0,0,NA,NA,NA,NA,NA
2015,4,8,3,170,1345,1341,-4,17,1358,76,64,38,236,1436,9,1501,1445,-16,0,0,NA,NA,NA,NA,NA
2015,4,2,4,1447,1336,1334,-2,11,1345,94,85,58,337,1443,16,1510,1459,-11,0,0,NA,NA,NA,NA,NA
2015,9,19,6,3094,654,723,29,14,737,57,43,27,137,904,2,851,906,15,0,0,0,0,0,15,0
2015,2,13,5,2302,1440,1440,0,16,1456,141,154,128,852,1704,10,1701,1714,13,0,0,NA,NA,NA,NA,NA
2015,3,24,2,1723,1945,1938,-7,17,1955,163,161,113,954,2148,31,2228,2219,-9,0,0,NA,NA,NA,NA,NA
2015,3,13,5,1892,1135,1134,-1,20,1154,131,115,91,650,1325,4,1346,1329,-17,0,0,NA,NA,NA,NA,NA
2015,2,7,6,677,1200,1256,56,9,1305,174,176,163,1024,1448,4,1354,1452,58,0,0,2,0,0,56,0
2015,4,5,7,767,1250,1311,21,12,1323,85,83,67,405,1430,4,1415,1434,19,0,0,0,0,17,2,0
2015,6,21,7,3157,1346,1433,47,9,1442,83,68,48,299,1530,11,1509,1541,32,0,0,7,0,0,25,0
2015,12,29,2,1820,1730,1732,2,15,1747,156,150,126,930,2053,9,2106,2102,-4,0,0,NA,NA,NA,NA,NA
2015,1,16,5,1062,1900,1905,5,16,1921,147,137,117,853,2018,4,2027,2022,-5,0,0,NA,NA,NA,NA,NA
2015,8,1,6,1557,2146,2223,37,14,2237,142,121,104,867,121,3,108,124,16,0,0,0,0,16,0,0
2015,5,17,7,4608,920,915,-5,17,932,55,67,32,129,1004,18,1015,1022,7,0,0,NA,NA,NA,NA,NA
2015,4,13,1,1333,1856,1905,9,14,1919,254,224,204,1590,2043,6,2110,2049,-21,0,0,NA,NA,NA,NA,NA
2015,10,5,1,1200,45,47,2,13,100,218,209,189,1635,609,7,623,616,-7,0,0,NA,NA,NA,NA,NA
2015,8,9,7,1827,1345,1343,-2,16,1359,126,109,81,581,1520,12,1551,1532,-19,0,0,NA,NA,NA,NA,NA
2015,12,14,1,929,1330,1326,-4,8,1334,75,74,60,337,1434,6,1445,1440,-5,0,0,NA,NA,NA,NA,NA
2015,6,26,5,1493,917,918,1,17,935,163,144,119,937,1134,8,1200,1142,-18,0,0,NA,NA,NA,NA,NA
2015,6,28,7,4551,830,834,4,8,842,125,124,111,775,933,5,935,938,3,0,0,NA,NA,NA,NA,NA
2015,1,17,6,278,1555,1551,-4,14,1605,200,193,170,1440,1955,9,2015,2004,-11,0,0,NA,NA,NA,NA,NA
2015,3,25,3,1535,2040,2040,0,19,2059,94,84,62,432,2201,3,2214,2204,-10,0,0,NA,NA,NA,NA,NA
2015,2,1,7,1179,1440,1437,-3,8,1445,170,157,126,919,1651,23,1730,1714,-16,0,0,NA,NA,NA,NA,NA
2015,12,22,2,1266,820,822,2,22,844,65,81,50,236,934,9,925,943,18,0,0,18,0,0,0,0
2015,11,12,4,7420,1302,1302,0,16,1318,70,72,50,257,1408,6,1412,1414,2,0,0,NA,NA,NA,NA,NA
2015,5,1,5,352,700,655,-5,23,718,90,93,65,447,823,5,830,828,-2,0,0,NA,NA,NA,NA,NA
2015,4,28,2,1502,1110,1104,-6,11,1115,85,70,57,386,1212,2,1235,1214,-21,0,0,NA,NA,NA,NA,NA
2015,6,5,5,3041,1516,1515,-1,18,1533,95,88,62,413,1735,8,1751,1743,-8,0,0,NA,NA,NA,NA,NA
2015,7,26,7,4573,1500,1459,-1,23,1522,122,126,99,599,1601,4,1602,1605,3,0,0,NA,NA,NA,NA,NA
2015,11,16,1,3113,820,817,-3,20,837,116,114,92,642,1109,2,1116,1111,-5,0,0,NA,NA,NA,NA,NA
2015,10,3,6,1337,1410,1409,-1,13,1422,270,251,233,1749,1515,5,1540,1520,-20,0,0,NA,NA,NA,NA,NA
2015,5,8,5,326,1647,1643,-4,15,1658,37,47,22,100,1720,10,1724,1730,6,0,0,NA,NA,NA,NA,NA
2015,7,15,3,566,2010,2009,-1,14,2023,150,153,115,834,2218,24,2240,2242,2,0,0,NA,NA,NA,NA,NA
2015,12,1,2,534,2145,2146,1,16,2202,308,278,252,2556,414,10,453,424,-29,0,0,NA,NA,NA,NA,NA
2015,12,29,2,3149,550,547,-3,9,556,105,99,74,587,810,16,835,826,-9,0,0,NA,NA,NA,NA,NA
2015,2,17,2,2692,1435,1434,-1,22,1456,66,69,42,261,1438,5,1441,1443,2,0,0,NA,NA,NA,NA,NA
2015,9,2,3,2210,1120,1134,14,24,1158,354,370,335,2677,1433,11,1414,1444,30,0,0,28,0,2,0,0
2015,8,1,6,18,1820,1839,19,26,1905,159,160,128,957,2113,6,2059,2119,20,0,0,1,0,3,16,0
2015,2,25,3,1065,605,603,-2,11,614,173,157,139,859,833,7,858,840,-18,0,0,NA,NA,NA,NA,NA
2015,3,7,6,45,750,743,-7,11,754,325,352,336,2355,1130,5,1115,1135,20,0,0,0,0,20,0,0
2015,8,28,5,1722,700,653,-7,16,709,99,93,69,427,818,8,839,826,-13,0,0,NA,NA,NA,NA,NA
2015,9,18,5,1018,1912,1920,8,17,1937,139,133,111,836,2028,5,2031,2033,2,0,0,NA,NA,NA,NA,NA
2015,8,1,6,2050,920,918,-2,9,927,160,151,138,1067,1345,4,1400,1349,-11,0,0,NA,NA,NA,NA,NA
2015,6,18,4,657,1520,1515,-5,8,1523,155,139,126,994,1629,5,1655,1634,-21,0,0,NA,NA,NA,NA,NA
2015,4,17,5,310,2055,2117,22,9,2126,289,281,265,2343,451,7,444,458,14,0,0,NA,NA,NA,NA,NA
2015,2,18,3,4568,530,518,-12,33,551,67,82,42,201,633,7,637,640,3,0,0,NA,NA,NA,NA,NA
2015,2,20,5,5985,1315,1328,13,35,1403,67,80,42,224,1545,3,1522,1548,26,0,0,13,0,0,13,0
2015,10,12,1,1717,1715,1755,40,28,1823,91,99,69,334,1932,2,1846,1934,48,0,0,48,0,0,0,0
2015,1,17,6,2473,725,727,2,15,742,188,196,162,1197,1124,19,1133,1143,10,0,0,NA,NA,NA,NA,NA
2015,8,15,6,4227,1535,1550,15,13,1603,75,77,57,337,1700,7,1650,1707,17,0,0,2,15,0,0,0
2015,4,30,4,4127,1525,1519,-6,16,1535,75,73,54,368,1729,3,1740,1732,-8,0,0,NA,NA,NA,NA,NA
2015,12,27,7,1056,630,627,-3,42,709,228,252,207,1576,1236,3,1218,1239,21,0,0,21,0,0,0,0
2015,5,23,6,830,840,839,-1,8,847,95,100,87,580,1114,5,1115,1119,4,0,0,NA,NA,NA,NA,NA
2015,5,8,5,4655,2020,2051,31,21,2112,120,126,100,770,2352,5,2320,2357,37,0,0,6,0,9,22,0
2015,5,2,6,953,945,939,-6,13,952,90,83,63,447,1055,7,1115,1102,-13,0,0,NA,NA,NA,NA,NA
2015,9,4,5,4466,715,715,0,14,729,123,123,98,615,907,11,918,918,0,0,0,NA,NA,NA,NA,NA
2015,8,9,7,6440,1211,1422,131,18,1440,91,73,51,337,1531,4,1342,1535,113,0,0,0,0,0,113,0
2015,3,8,7,7385,605,604,-1,31,635,54,70,35,200,810,4,759,814,15,0,0,15,0,0,0,0
2015,11,28,6,4618,559,552,-7,24,616,119,137,103,488,759,10,758,809,11,0,0,NA,NA,NA,NA,NA
2015,11,27,5,118,1359,1411,12,11,1422,67,57,42,187,1504,4,1506,1508,2,0,0,NA,NA,NA,NA,NA
2015,7,20,1,698,1916,1937,21,13,1950,163,154,134,950,2204,7,2159,2211,12,0,0,NA,NA,NA,NA,NA
2015,2,9,1,6460,1700,1659,-1,30,1729,109,122,88,612,1957,4,1949,2001,12,0,0,NA,NA,NA,NA,NA
2015,1,27,2,3955,1327,1319,-8,9,1328,88,86,67,429,1435,10,1455,1445,-10,0,0,NA,NA,NA,NA,NA
2015,11,22,7,3354,1508,1459,-9,6,1505,60,45,32,158,1537,7,1608,1544,-24,0,0,NA,NA,NA,NA,NA
2015,5,20,3,1177,2055,2118,23,26,2144,159,166,132,888,2256,8,2234,2304,30,0,0,7,0,23,0,0
2015,4,17,5,194,1720,1729,9,11,1740,165,142,127,946,1947,4,2005,1951,-14,0,0,NA,NA,NA,NA,NA
2015,4,1,3,2331,635,NA,NA,NA,NA,170,NA,NA,1184,NA,NA,1025,NA,NA,0,1,NA,NA,NA,NA,NA
2015,6,23,2,4102,2050,2045,-5,9,2054,145,135,117,867,2251,9,2315,2300,-15,0,0,NA,NA,NA,NA,NA
2015,8,13,4,1394,1650,1647,-3,15,1702,188,191,165,1120,1847,11,1858,1858,0,0,0,NA,NA,NA,NA,NA
2015,9,1,2,698,1430,1443,13,16,1459,145,135,111,888,1750,8,1755,1758,3,0,0,NA,NA,NA,NA,NA
2015,12,30,3,6213,625,629,4,31,700,117,115,74,516,714,10,722,724,2,0,0,NA,NA,NA,NA,NA
2015,7,24,5,4902,1700,1655,-5,8,1703,119,123,97,617,1840,18,1859,1858,-1,0,0,NA,NA,NA,NA,NA
2015,5,6,3,5887,1723,1837,74,19,1856,81,86,56,266,1952,11,1844,2003,79,0,0,5,0,0,74,0
2015,7,28,2,593,645,639,-6,22,701,86,91,52,338,753,17,811,810,-1,0,0,NA,NA,NA,NA,NA
2015,11,25,3,2453,705,700,-5,14,714,181,161,141,1235,1135,6,1206,1141,-25,0,0,NA,NA,NA,NA,NA
2015,12,21,1,5229,1231,1228,-3,17,1245,49,50,26,73,1311,7,1320,1318,-2,0,0,NA,NA,NA,NA,NA
2015,1,7,3,1608,520,518,-2,29,547,175,166,133,1142,900,4,915,904,-11,0,0,NA,NA,NA,NA,NA
2015,2,19,4,1066,1410,1405,-5,21,1426,220,209,184,1218,1630,4,1650,1634,-16,0,0,NA,NA,NA,NA,NA
2015,12,30,3,5397,1510,1735,145,17,1752,112,94,75,620,1907,2,1702,1909,127,0,0,0,0,49,78,0
2015,1,11,7,1407,610,605,-5,32,637,129,126,91,748,908,3,919,911,-8,0,0,NA,NA,NA,NA,NA
2015,2,27,5,1809,930,931,1,24,955,96,94,67,280,1102,3,1106,1105,-1,0,0,NA,NA,NA,NA,NA
2015,6,12,5,2281,1755,1907,72,14,1921,276,248,229,1829,2110,5,2031,2115,44,0,0,0,0,44,0,0
2015,12,21,1,849,1720,1718,-2,9,1727,265,245,229,1428,2016,7,2045,2023,-22,0,0,NA,NA,NA,NA,NA
2015,6,1,1,5358,810,813,3,22,835,110,115,87,589,902,6,900,908,8,0,0,NA,NA,NA,NA,NA
2015,4,2,4,1539,1159,1159,0,12,1211,119,105,86,547,1337,7,1358,1344,-14,0,0,NA,NA,NA,NA,NA
2015,6,3,3,801,1520,1518,-2,10,1528,210,206,189,1546,2037,7,2050,2044,-6,0,0,NA,NA,NA,NA,NA
2015,6,21,7,169,1735,1734,-1,8,1742,120,118,104,667,1826,6,1835,1832,-3,0,0,NA,NA,NA,NA,NA
2015,12,23,3,1624,915,913,-2,18,931,110,109,85,651,1156,6,1205,1202,-3,0,0,NA,NA,NA,NA,NA
2015,4,26,7,419,940,927,-13,27,954,119,120,88,563,1122,5,1139,1127,-12,0,0,NA,NA,NA,NA,NA
2015,6,7,7,1169,1000,956,-4,16,1012,140,127,104,862,1256,7,1320,1303,-17,0,0,NA,NA,NA,NA,NA
2015,2,3,2,1288,1421,1415,-6,13,1428,174,167,150,1171,1858,4,1915,1902,-13,0,0,NA,NA,NA,NA,NA
2015,8,9,7,236,1753,1753,0,13,1806,37,39,19,100,1825,7,1830,1832,2,0,0,NA,NA,NA,NA,NA
2015,6,20,6,5802,1730,1725,-5,8,1733,170,173,158,984,2011,7,2020,2018,-2,0,0,NA,NA,NA,NA,NA
2015,9,15,2,4776,914,911,-3,22,933,64,64,37,196,1010,5,1018,1015,-3,0,0,NA,NA,NA,NA,NA
2015,4,6,1,1927,745,742,-3,12,754,118,115,91,581,925,12,943,937,-6,0,0,NA,NA,NA,NA,NA
2015,12,27,7,1276,1123,1125,2,8,1133,101,97,83,447,1256,6,1304,1302,-2,0,0,NA,NA,NA,NA,NA
2015,12,2,3,557,1730,1744,14,14,1758,136,147,127,853,1905,6,1846,1911,25,0,0,21,0,4,0,0
2015,9,11,5,2891,1008,959,-9,22,1021,96,105,69,373,1130,14,1144,1144,0,0,0,NA,NA,NA,NA,NA
2015,5,8,5,729,1800,1801,1,32,1833,362,356,314,2378,2047,10,2102,2057,-5,0,0,NA,NA,NA,NA,NA
2015,11,15,7,2270,1828,1858,30,12,1910,178,152,133,977,2123,7,2126,2130,4,0,0,NA,NA,NA,NA,NA
2015,8,4,2,2534,910,910,0,16,926,348,321,299,2611,1725,6,1758,1731,-27,0,0,NA,NA,NA,NA,NA
2015,3,3,2,2527,930,926,-4,10,936,151,136,123,932,1139,3,1201,1142,-19,0,0,NA,NA,NA,NA,NA
2015,8,21,5,1063,1350,1347,-3,18,1405,66,59,37,231,1442,4,1456,1446,-10,0,0,NA,NA,NA,NA,NA
2015,5,12,2,467,1440,1500,20,11,1511,70,64,50,258,1601,3,1550,1604,14,0,0,NA,NA,NA,NA,NA
2015,7,1,3,2152,1255,1259,4,12,1311,70,65,49,338,1400,4,1405,1404,-1,0,0,NA,NA,NA,NA,NA
2015,11,6,5,1519,1715,1710,-5,9,1719,239,214,200,1721,2239,5,2314,2244,-30,0,0,NA,NA,NA,NA,NA
2015,11,9,1,1208,630,623,-7,30,653,71,89,52,228,745,7,741,752,11,0,0,NA,NA,NA,NA,NA
2015,2,7,6,5309,1040,1159,79,29,1228,80,90,57,363,1325,4,1200,1329,89,0,0,10,0,79,0,0
2015,8,13,4,3253,1110,1103,-7,22,1125,61,66,37,137,1102,7,1111,1109,-2,0,0,NA,NA,NA,NA,NA
2015,8,3,1,1463,1635,1637,2,14,1651,310,306,284,2402,35,8,45,43,-2,0,0,NA,NA,NA,NA,NA
2015,4,18,6,2270,815,807,-8,11,818,132,143,105,606,903,27,927,930,3,0,0,NA,NA,NA,NA,NA
2015,7,7,2,639,715,714,-1,9,723,145,137,124,945,927,4,940,931,-9,0,0,NA,NA,NA,NA,NA
2015,6,9,2,2130,1835,2124,169,10,2134,102,76,60,373,2234,6,2017,2240,143,0,0,77,0,0,66,0
2015,1,27,2,562,1755,1749,-6,15,1804,143,144,113,834,1957,16,2018,2013,-5,0,0,NA,NA,NA,NA,NA
2015,12,6,7,6115,1928,1921,-7,20,1941,58,52,26,108,2007,6,2026,2013,-13,0,0,NA,NA,NA,NA,NA
2015,1,17,6,4472,900,1021,81,10,1031,95,92,69,414,1140,13,1035,1153,78,0,0,0,0,78,0,0
2015,7,20,1,204,1113,1111,-2,16,1127,69,60,40,200,1207,4,1222,1211,-11,0,0,NA,NA,NA,NA,NA
2015,6,15,1,4304,659,656,-3,20,716,114,108,84,589,940,4,953,944,-9,0,0,NA,NA,NA,NA,NA
2015,10,5,1,3109,1205,1157,-8,7,1204,100,94,79,438,1323,8,1345,1331,-14,0,0,NA,NA,NA,NA,NA
2015,8,19,3,1602,1645,1638,-7,7,1645,90,79,65,414,1750,7,1815,1757,-18,0,0,NA,NA,NA,NA,NA
2015,5,22,5,445,1645,1715,30,17,1732,378,345,326,2454,1958,2,2003,2000,-3,0,0,NA,NA,NA,NA,NA
2015,12,17,4,207,1815,2100,165,17,2117,202,193,170,1121,2307,6,2037,2313,156,0,0,0,0,156,0,0
2015,9,6,7,3220,1725,1720,-5,13,1733,85,73,55,354,1828,5,1850,1833,-17,0,0,NA,NA,NA,NA,NA
2015,3,11,3,3226,900,901,1,13,914,100,87,70,440,924,4,940,928,-12,0,0,NA,NA,NA,NA,NA
2015,10,28,3,4174,731,725,-6,25,750,63,65,36,223,926,4,934,930,-4,0,0,NA,NA,NA,NA,NA
2015,6,28,7,5004,635,630,-5,6,636,76,58,49,301,725,3,751,728,-23,0,0,NA,NA,NA,NA,NA
2015,2,17,2,5784,1000,958,-2,20,1018,56,57,31,201,1049,6,1056,1055,-1,0,0,NA,NA,NA,NA,NA
2015,8,14,5,3257,1217,1206,-11,36,1242,118,127,82,585,1404,9,1415,1413,-2,0,0,NA,NA,NA,NA,NA
2015,2,21,6,4448,605,557,-8,17,614,131,131,100,744,854,14,916,908,-8,0,0,NA,NA,NA,NA,NA
2015,9,7,1,83,1213,1220,7,32,1252,169,160,124,944,1456,4,1502,1500,-2,0,0,NA,NA,NA,NA,NA
2015,2,2,1,1176,855,849,-6,12,901,199,187,171,1205,952,4,1014,956,-18,0,0,NA,NA,NA,NA,NA
2015,7,11,6,1859,825,820,-5,17,837,128,117,95,650,1012,5,1033,1017,-16,0,0,NA,NA,NA,NA,NA
2015,8,17,1,3130,1035,1035,0,24,1059,98,93,66,431,1205,3,1213,1208,-5,0,0,NA,NA,NA,NA,NA
2015,11,19,4,1917,605,555,-10,13,608,153,153,131,951,819,9,838,828,-10,0,0,NA,NA,NA,NA,NA
2015,8,11,2,182,1045,1036,-9,13,1049,199,197,177,1448,1446,7,1504,1453,-11,0,0,NA,NA,NA,NA,NA
2015,4,21,2,863,1415,1427,12,8,1435,90,84,72,402,1447,4,1445,1451,6,0,0,NA,NA,NA,NA,NA
2015,8,4,2,999,1005,1001,-4,11,1012,85,78,63,423,1115,4,1130,1119,-11,0,0,NA,NA,NA,NA,NA
2015,4,15,3,685,2130,2152,22,16,2208,248,230,207,1546,2335,7,2338,2342,4,0,0,NA,NA,NA,NA,NA
2015,5,21,4,5373,1003,1141,98,17,1158,51,44,21,89,1219,6,1054,1225,91,0,0,0,0,91,0,0
2015,3,5,4,1493,1454,1500,6,11,1511,78,56,41,304,1552,4,1612,1556,-16,0,0,NA,NA,NA,NA,NA
2015,10,7,3,1698,755,751,-4,19,810,151,143,105,719,855,19,926,914,-12,0,0,NA,NA,NA,NA,NA
2015,4,7,2,2891,806,800,-6,27,827,94,102,67,373,934,8,940,942,2,0,0,NA,NA,NA,NA,NA
2015,10,18,7,1107,600,558,-2,14,612,236,222,194,1389,826,14,856,840,-16,0,0,NA,NA,NA,NA,NA
2015,5,20,3,2797,2003,2009,6,16,2025,103,98,78,509,2143,4,2146,2147,1,0,0,NA,NA,NA,NA,NA
2015,8,30,7,662,1300,1258,-2,16,1314,232,220,200,1660,1834,4,1852,1838,-14,0,0,NA,NA,NA,NA,NA
